,num_user,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
Sang-Froid - Tales of Werewolves,10,41.7,0.7,1.075,2.05,6.325000000000001,12.8
Spiral Knights,61,2358.8000000000006,0.1,0.6,2.2,7.3,1592.0
Fallout,26,185.90000000000003,0.1,0.9,2.8,6.199999999999999,46.0
Thief Gold,13,7.9,0.1,0.2,0.4,0.9,1.6
Thief Deadly Shadows,11,38.99999999999999,0.1,0.35,1.0,4.45,13.2
Soldier Front 2,10,92.2,0.2,0.7,3.5,7.65,61.0
Magicka Wizard Wars,111,480.09999999999985,0.1,0.5,1.6,3.4,97.0
Hitman 2 Silent Assassin,13,46.6,0.3,0.6,2.2,4.7,13.4
Fable III,17,570.6,1.4,17.8,28.0,34.0,105.0
Robin Hood,2,78.0,39.0,39.0,39.0,39.0,39.0
Desperados - Wanted Dead or Alive,2,11.2,0.2,2.9,5.6,8.3,11.0
Oddworld Abe's Exoddus,8,21.7,0.2,0.825,1.75,2.975,10.0
Dark Messiah of Might & Magic Multi-Player,8,573.7,0.7,1.7499999999999998,2.7,15.3,530.0
Oddworld Abe's Oddysee,15,28.399999999999995,0.6,0.75,0.9,1.6,9.8
Anno 1404 Venice,4,67.0,0.4,6.549999999999999,15.8,26.0,35.0
The Escapists,37,480.9999999999999,0.3,4.0,7.2,13.9,99.0
Source Filmmaker,62,895.9000000000001,0.1,0.3,1.15,4.175000000000001,312.0
Dragon Nest,12,412.70000000000005,0.3,0.8,1.4,17.15,309.0
Dynasty Warriors 8 - Empires,2,23.0,11.0,11.25,11.5,11.75,12.0
DRAGON BALL XENOVERSE,32,1254.2999999999997,1.8,5.1000000000000005,18.1,49.25,355.0
RollerCoaster Tycoon Deluxe,16,211.29999999999995,0.2,1.2,4.45,9.450000000000001,71.0
Vindictus,25,165.5,0.3,0.8,1.5,2.5,71.0
Football Manager 2011,31,11336.800000000001,10.2,64.0,162.0,438.0,2116.0
King Arthur II - The Role-playing Wargame,12,80.00000000000003,0.1,0.475,1.55,5.2,37.0
Dishonored (RU),18,321.2,0.5,2.125,4.05,14.650000000000002,142.0
Lords Of The Fallen,17,248.4,0.4,3.7,11.0,16.2,57.0
"Warhammer 40,000 Dawn of War II  Retribution",67,4983.200000000001,0.1,1.75,9.1,34.5,1318.0
Mars War Logs,11,47.9,0.4,0.95,1.9,9.65,10.3
Space Hulk,6,47.60000000000001,0.2,2.425,6.8999999999999995,11.225000000000001,20.0
Call of Duty Ghosts,69,637.2999999999998,0.1,2.1,7.2,11.7,67.0
Aliens Colonial Marines,21,218.3,0.4,1.6,4.2,12.5,56.0
Viking Battle for Asgard,9,34.4,0.1,0.7,2.7,3.1,19.7
The Lord of the Rings War in the North,49,856.6000000000001,0.2,1.8,6.7,17.9,121.0
Horizon,4,22.599999999999998,0.7,1.075,4.3,8.875,13.3
Lost Planet Extreme Condition,12,55.5,0.1,0.5499999999999999,1.35,3.5500000000000003,32.0
Jagged Alliance - Back in Action,5,127.2,0.3,1.2,2.7,32.0,91.0
Cubic Castles,28,106.8,0.1,0.4,0.7,1.9999999999999998,56.0
Call of Duty Black Ops III,38,1412.4999999999998,0.4,8.149999999999999,14.15,42.75,208.0
Kerbal Space Program,89,5333.199999999999,0.1,4.2,22.0,68.0,480.0
The Mighty Quest For Epic Loot,82,1015.7999999999998,0.1,1.4499999999999997,4.05,13.875,137.0
Double Action Boogaloo,43,216.69999999999993,0.1,0.4,1.0,2.75,126.0
Kentucky Route Zero,7,13.7,0.3,0.8500000000000001,1.6,2.6,4.9
Magic The Gathering - Duels of the Planeswalkers,12,255.6,1.3,4.0,9.0,18.85,103.0
Commandos 2 Men of Courage,10,38.7,0.1,0.2,0.35,1.15,33.0
Nobunaga's Ambition Souzou with Power Up Kit,3,445.0,83.0,108.0,133.0,181.0,229.0
Blood Bowl Legendary Edition,17,469.40000000000003,0.1,0.6,7.3,24.0,273.0
DARK SOULS II,71,6193.799999999999,0.3,13.95,55.0,114.5,710.0
Ace of Spades,70,518.5000000000001,0.1,0.8750000000000001,3.45,9.725000000000001,65.0
Stronghold Kingdoms,46,4702.999999999999,0.1,0.4,1.2000000000000002,19.3,1616.0
Serious Sam HD The Second Encounter,87,950.7999999999998,0.1,0.7,3.2,12.3,107.0
War of the Roses,45,761.6,0.1,0.4,2.3,10.9,250.0
FreeStyle2 Street Basketball,85,912.4000000000002,0.1,0.6,1.7,11.7,125.0
AirMech,43,521.3,0.1,0.7,3.0,11.8,196.0
Moonbase Alpha,35,77.7,0.1,0.4,0.6,1.2,53.0
Enclave,30,80.6,0.1,0.4,1.25,3.3,12.9
Two Worlds Epic Edition,18,135.09999999999997,0.4,1.875,3.3499999999999996,5.3999999999999995,45.0
TDP4Team Battle,5,9.399999999999999,0.1,0.2,0.4,1.9,6.8
Cry of Fear,85,167.60000000000005,0.1,0.4,0.9,1.9,14.0
Dwarfs F2P,8,22.7,0.2,0.875,2.2,4.300000000000001,6.6
Dungeonland,27,47.2,0.1,0.3,0.9,2.5,12.3
F.E.A.R. Online,26,77.3,0.2,0.7249999999999999,1.75,4.975,9.9
Defy Gravity,26,35.800000000000004,0.2,0.42500000000000004,0.8500000000000001,1.725,10.3
King Arthur - The Role-playing Wargame,12,59.7,0.2,1.175,3.1,6.625,15.4
RaceRoom Racing Experience ,51,352.4000000000001,0.1,0.45,1.2,3.8,201.0
WARMODE,47,117.09999999999998,0.1,0.3,0.8,2.6500000000000004,13.8
Gotham City Impostors Free To Play,59,629.7,0.1,0.55,1.5,6.65,317.0
Hitman Sniper Challenge,24,52.199999999999996,0.1,0.2,0.45,0.8250000000000001,24.0
Tom Clancy's Rainbow Six 3 Gold Edition,3,12.5,0.2,2.25,4.3,6.15,8.0
Rome Total War,62,2396.6000000000004,0.1,2.3249999999999997,10.2,28.75,343.0
Rome Total War - Alexander,18,180.8,0.1,0.575,2.6,3.8499999999999996,63.0
Besiege,91,1251.6,0.1,1.2,2.7,6.699999999999999,492.0
Football Manager 2012,78,30842.499999999996,0.3,80.0,249.0,552.5,2088.0
Football Manager 2015,77,24283.100000000002,1.5,45.0,144.0,471.0,2503.0
Time Clickers,26,444.1000000000001,0.1,0.5,1.65,12.825,134.0
F1 2012,15,1121.7,0.1,10.55,32.0,79.0,431.0
Homefront,43,569.5000000000001,0.3,2.0,5.4,14.649999999999999,170.0
The Stomping Land,9,63.8,0.3,1.2,8.4,12.4,16.7
Endless Space,50,1497.3,0.1,4.2250000000000005,20.4,46.25,145.0
Shoot Many Robots,9,59.800000000000004,0.3,0.7,3.6,10.1,19.0
Dragon Age Origins,31,1886.8,0.6,5.949999999999999,19.7,75.5,405.0
Borderlands The Pre-Sequel,76,2852.1,0.5,10.899999999999999,26.0,44.5,254.0
Tomb Raider Underworld,9,62.800000000000004,2.3,3.0,6.8,10.1,12.0
Prince of Persia The Forgotten Sands,7,95.8,0.3,6.7,13.8,21.15,26.0
Elite Dangerous,33,2455.7000000000003,0.3,8.4,24.0,96.0,746.0
StarDrive 2,4,130.0,17.0,25.25,34.5,41.75,44.0
Total War Battles KINGDOM,18,72.00000000000001,0.1,0.42500000000000004,0.75,2.3750000000000004,39.0
Eden Star  Destroy - Build - Protect,3,17.2,4.1,4.3,4.5,6.55,8.6
Squad,2,23.3,3.3,7.475,11.65,15.825,20.0
Lords of the Black Sun,3,6.8,1.1,1.9000000000000001,2.7,2.85,3.0
Mitos.is The Game,46,187.2,0.1,0.8500000000000001,2.5,5.625,20.0
Company of Heroes (New Steam Version),63,1228.2000000000003,0.1,1.85,6.5,25.0,180.0
Offworld Trading Company,6,78.5,0.5,3.95,8.25,22.3,32.0
Creativerse,23,188.60000000000002,0.2,1.45,5.5,13.5,36.0
Trove,231,4798.0,0.1,0.8,2.7,14.95,382.0
Teeworlds,17,33.900000000000006,0.1,0.3,0.5,1.4,21.0
Fuse,12,25.200000000000003,0.1,0.27499999999999997,0.4,2.6500000000000004,7.8
Football Manager 2014,75,30570.1,5.2,65.0,193.0,488.0,4775.0
Football Manager 2016,26,2294.8999999999996,3.3,33.5,61.5,125.5,339.0
Football Manager 2009,33,7424.099999999999,0.5,12.7,27.0,175.0,1885.0
Five Nights at Freddy's,41,92.10000000000004,0.2,0.5,1.0,2.7,13.3
Five Nights at Freddy's 3,8,16.4,0.5,0.6749999999999999,1.0,1.7999999999999998,8.2
Five Nights at Freddy's 2,22,64.7,0.1,0.625,1.9,3.1750000000000003,11.6
Five Nights at Freddy's 4,11,14.099999999999998,0.2,0.35,0.9,1.7,4.8
A.V.A - Alliance of Valiant Arms,27,109.1,0.1,0.75,1.8,4.199999999999999,36.0
Velvet Sundown,14,19.1,0.1,0.525,0.95,1.975,3.5
Test Drive Unlimited 2,23,692.1,0.1,1.5,9.7,34.5,205.0
The Lord of the Rings Online,31,675.3000000000001,0.1,0.8500000000000001,4.1,11.5,263.0
FINAL FANTASY XI,1,50.0,50.0,50.0,50.0,50.0,50.0
Tom Clancy's Rainbow Six Siege,8,184.89999999999998,3.2,9.475,22.5,30.0,52.0
Zombie Panic Source,75,2432.4,0.1,0.5,1.1,4.45,1111.0
Takedown Red Sabre,11,31.599999999999998,0.3,0.75,2.0,2.95,14.1
E.Y.E Divine Cybermancy,24,112.4,0.1,0.7750000000000001,2.5,6.8500000000000005,15.4
Tom Clancy's Splinter Cell Blacklist,37,624.6,0.2,2.5,9.8,21.0,97.0
Natural Selection 2,97,2498.899999999999,0.1,1.0,2.7,8.3,1443.0
RACE 07,34,357.0,0.1,0.32499999999999996,1.05,5.624999999999999,125.0
Brawlhalla,58,449.00000000000006,0.2,0.8,2.5,10.425,55.0
Dungeon Defenders II,82,936.1000000000001,0.1,0.8500000000000001,4.6,16.299999999999997,133.0
Mortal Kombat X,38,2598.099999999999,0.6,5.2250000000000005,12.75,30.75,1363.0
The Binding of Isaac Rebirth,79,6734.2,0.2,4.7,32.0,115.5,623.0
Metro 2033 Redux,38,253.69999999999996,0.2,1.2249999999999999,4.5,9.899999999999999,26.0
The Ship,41,164.7,0.2,0.9,2.7,5.2,30.0
Max Payne 3,92,1940.1999999999996,0.2,5.250000000000001,10.7,16.825,295.0
Shovel Knight,14,166.7,0.1,2.3,6.4,12.100000000000001,49.0
Red Faction Armageddon,49,281.9,0.1,0.5,1.4,6.6,50.0
The Last Remnant,27,431.40000000000003,0.2,0.6,5.0,14.399999999999999,108.0
Resident Evil Revelations 2 / Biohazard Revelations 2,14,137.0,0.3,1.225,3.9,19.875,29.0
Road Redemption,6,32.3,0.1,0.35000000000000003,1.4,7.8500000000000005,19.4
Styx Master of Shadows,14,58.8,0.2,0.6499999999999999,1.65,4.3,20.0
The Evil Within,16,136.8,0.1,1.375,4.199999999999999,9.975000000000001,34.0
BookWorm Deluxe,2,13.8,6.7,6.800000000000001,6.9,6.999999999999999,7.1
Zombies Monsters Robots,26,165.0,0.2,1.25,2.25,7.4750000000000005,41.0
Audition Online,5,10.299999999999999,0.1,0.4,0.6,1.0,8.2
Thinking with Time Machine,10,19.1,0.2,0.35,1.25,2.175,8.3
The Guild II,13,47.0,0.2,0.3,1.4,2.2,17.1
Blender 2.76b,16,15.300000000000002,0.1,0.27499999999999997,0.55,1.3,5.7
The Way of Life Free Edition,19,5.6000000000000005,0.1,0.15000000000000002,0.2,0.4,1.1
Only If,35,31.000000000000007,0.1,0.2,0.5,0.9500000000000001,5.9
Worms Revolution,48,335.0,0.1,1.475,3.9499999999999997,8.774999999999999,42.0
Rayman Legends,14,295.20000000000005,0.1,4.625,18.049999999999997,32.0,62.0
Shift 2 Unleashed,9,127.10000000000001,0.5,2.5,2.8,30.0,49.0
Tower Wars,17,83.70000000000002,0.2,0.8,1.6,5.7,19.1
Assassin's Creed IV Black Flag,54,3230.3000000000006,0.5,11.025000000000002,35.5,73.0,354.0
Guild Wars,8,1183.3999999999999,0.2,2.15,6.800000000000001,63.25,981.0
Sanctum 2,53,304.00000000000006,0.2,1.0,1.9,4.0,78.0
METAL SLUG 3,21,75.39999999999999,0.2,0.9,1.6,3.0,20.0
PixelJunk Eden,8,8.700000000000001,0.3,0.45,1.0,1.4500000000000002,2.4
Panzar,16,184.9,0.1,0.6249999999999999,11.9,14.224999999999998,37.0
Evolve,34,786.4999999999999,0.4,5.525,11.8,18.95,249.0
The Bridge,20,44.3,0.3,0.8,1.35,3.1,11.7
Jet Set Radio,3,12.0,0.3,2.4,4.5,5.85,7.2
Far Cry,26,111.7,0.1,0.4,1.05,4.775,29.0
Call of Duty Advanced Warfare - Multiplayer,60,3094.299999999999,0.1,3.1000000000000005,8.6,34.0,932.0
The Walking Dead Season Two,48,541.0,0.5,7.525,9.2,10.55,96.0
Poker Night 2,28,143.2,0.2,1.15,2.6,5.525,32.0
Rabbit Hole 3D Steam Edition,2,6.3,3.0,3.075,3.15,3.2249999999999996,3.3
The Basement Collection,5,16.9,0.8,1.0,1.5,1.6,12.0
Haunted Memories,22,7.300000000000001,0.1,0.2,0.2,0.3,1.8
Assassins Creed Unity,17,343.0,0.3,3.7,14.5,27.0,108.0
Serious Sam HD The First Encounter,29,104.60000000000001,0.1,0.9,2.6,4.5,12.4
Serious Sam 2,12,34.1,0.2,0.475,1.45,2.3000000000000003,16.9
Microsoft Flight Simulator X Steam Edition,27,542.7999999999998,0.1,0.8500000000000001,2.4,14.9,189.0
Royal Quest,9,84.3,0.7,1.6,4.3,5.4,38.0
Nancy Drew Shadow at the Water's Edge,1,12.3,12.3,12.3,12.3,12.3,12.3
Villagers and Heroes,17,68.80000000000001,0.1,0.4,1.0,4.2,26.0
Nancy Drew Ransom of the Seven Ships ,2,10.8,4.5,4.95,5.4,5.85,6.3
Nancy Drew Tomb of the Lost Queen,2,14.4,6.0,6.6,7.2,7.800000000000001,8.4
Nancy Drew Warnings at Waverly Academy,1,5.8,5.8,5.8,5.8,5.8,5.8
Nancy Drew Danger on Deception Island ,1,5.4,5.4,5.4,5.4,5.4,5.4
How to Survive,56,391.50000000000006,0.1,1.6,2.7,8.7,51.0
Duke Nukem 3D Megaton Edition,16,67.19999999999999,0.1,0.875,1.55,6.875000000000001,16.3
Risen,13,175.1,0.5,4.5,9.5,25.0,36.0
Dungeons of Dredmor,25,736.8000000000001,0.3,2.4,6.2,23.0,291.0
Fight The Dragon,5,65.9,2.4,3.4,4.2,6.9,49.0
Temper Tantrum,4,17.2,1.5,2.925,4.35,5.725,7.0
Painkiller Hell & Damnation,15,49.9,0.3,0.65,2.5,5.15,9.1
DiRT 3 Complete Edition,19,98.7,0.4,2.45,3.9,6.1,21.0
16bit Trader,2,8.9,4.2,4.325,4.45,4.575,4.7
Dead Bits,19,39.400000000000006,0.1,1.05,1.6,2.7,6.0
Space Rangers HD A War Apart,5,65.6,2.6,3.5,4.6,18.9,36.0
Nuclear Dawn,12,101.50000000000001,0.3,0.7250000000000001,4.75,7.450000000000001,49.0
POSTAL 2,50,270.50000000000006,0.1,0.525,2.5,7.800000000000001,35.0
Guns of Icarus Online,67,497.49999999999994,0.2,1.4,4.3,8.6,75.0
Sniper Elite Nazi Zombie Army 2,17,71.80000000000001,0.3,1.0,2.5,3.9,29.0
New kind of adventure,3,7.6,2.4,2.45,2.5,2.6,2.7
DETOUR,5,7.2,0.4,0.6,1.0,2.4,2.8
Stellar 2D,2,5.1,2.4,2.4749999999999996,2.55,2.6250000000000004,2.7
Minimum,11,66.7,0.6,1.45,5.5,9.1,16.0
Bad Rats,13,29.299999999999997,0.1,0.7,1.9,2.2,12.8
Hacker Evolution - Untold,4,6.0,0.2,0.49999999999999994,1.35,2.35,3.1
Talisman Digital Edition,13,213.2,0.2,2.0,3.9,25.0,72.0
Warlock - Master of the Arcane,22,412.79999999999995,0.2,1.9500000000000002,3.95,24.075,139.0
Serious Sam 3 BFE,73,890.8000000000001,0.1,1.9,4.2,8.5,188.0
The Showdown Effect,14,42.50000000000001,0.1,0.6,1.6,3.225,15.3
Project Zomboid,37,434.3,0.1,1.0,4.3,11.7,78.0
Sniper Elite Nazi Zombie Army,21,115.30000000000001,0.3,1.4,2.5,5.0,32.0
Guncraft,5,12.399999999999999,0.2,1.1,1.4,1.5,8.2
POSTAL,9,16.1,0.3,0.5,0.7,1.7,6.1
Stronghold Crusader HD,22,174.4,0.2,1.2249999999999999,4.1,7.775,58.0
Strike Suit Zero,19,36.3,0.2,0.5,0.9,1.9,10.4
FlatOut 2,13,27.500000000000004,0.1,0.3,0.6,2.3,10.5
Disciples III Resurrection,2,10.4,0.6,2.9000000000000004,5.2,7.500000000000001,9.8
Polarity,13,72.3,0.1,0.5,1.9,2.8,43.0
The Howler,4,10.2,0.4,2.1999999999999997,2.8,3.1499999999999995,4.2
Farming Simulator 2011,8,437.99999999999994,0.3,8.124999999999998,15.8,57.75,236.0
Trainz Simulator 12,7,14.600000000000001,0.2,0.35,0.9,3.45,5.9
Eufloria,12,295.0,0.1,0.2,11.899999999999999,33.0,82.0
NBA 2K15,20,2714.7,0.3,23.0,107.0,214.0,401.0
NASCAR '14,3,10.8,0.3,0.6,0.9,5.25,9.6
Men of War Vietnam,5,39.0,0.2,0.5,8.3,13.2,16.8
Men of War Condemned Heroes,3,26.4,0.7,3.95,7.2,12.85,18.5
Toy Soldiers,7,113.30000000000001,0.3,1.0,1.7,12.15,85.0
Men of War Assault Squad,20,1259.6000000000001,0.2,0.8500000000000001,14.45,78.0,319.0
Resident Evil 6 / Biohazard 6,39,840.9999999999999,0.3,2.95,15.2,28.0,113.0
Magic The Gathering - Duels of the Planeswalkers 2013,18,295.80000000000007,0.8,4.1499999999999995,8.5,18.025,93.0
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,7,140.8,2.5,5.65,8.9,28.55,61.0
Broforce,26,688.3999999999999,0.3,2.1500000000000004,5.2,14.475,435.0
Agarest Generations of War,8,125.49999999999999,1.6,3.7,7.8999999999999995,19.725,55.0
NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,13,195.7,2.2,3.8,13.4,24.0,36.0
Hyperdimension Neptunia Re;Birth1,9,28.6,0.3,1.2,2.7,4.0,9.8
Resident Evil Operation Raccoon City,3,6.0,1.6,1.75,1.9,2.2,2.5
Shadow Warrior,32,192.10000000000005,0.2,0.975,3.95,7.574999999999999,24.0
Shufflepuck Cantina Deluxe VR,3,19.1,1.6,2.6,3.6,8.75,13.9
Talisman Prologue,7,16.0,0.5,1.5499999999999998,1.8,3.3499999999999996,3.9
Angry Video Game Nerd Adventures,10,19.7,0.3,0.47500000000000003,1.5,2.675,6.9
Strider,11,19.7,0.1,0.3,1.2,2.35,6.0
Breath of Death VII ,8,8.1,0.2,0.2,0.75,1.0,4.0
Sacred 2 Gold,12,24.4,0.2,0.575,1.1,1.85,9.9
Double Dragon Neon,7,20.099999999999998,0.3,1.1,1.7,4.35,7.2
Cthulhu Saves the World ,16,44.599999999999994,0.2,0.7,1.95,4.325,9.7
FINAL FANTASY TYPE-0 HD,4,6.8,0.5,0.6499999999999999,1.0,2.05,4.3
Dungeons & Dragons Chronicles of Mystara,5,19.499999999999996,0.2,0.3,0.7,6.1,12.2
Rise of Incarnates,39,37.3,0.1,0.2,0.4,0.75,10.3
Abyss Odyssey,5,19.599999999999998,0.1,0.6,3.2,3.2,12.5
DOOM 3 BFG Edition,21,387.50000000000006,0.1,1.2,4.0,7.0,230.0
TrackMania Canyon,4,5.4,0.5,1.025,1.25,1.5750000000000002,2.4
Hero Academy,5,198.8,0.2,0.4,0.4,1.8,196.0
Retro City Rampage DX,9,15.1,0.1,0.4,0.5,2.1,7.0
Mortal Kombat Kollection,17,37.099999999999994,0.2,0.3,0.5,1.3,22.0
Shadow Warrior Classic Redux,9,11.9,0.1,0.4,0.4,1.6,3.9
Nation Red,13,87.00000000000001,0.3,1.4,2.4,4.8,50.0
Legendary,10,10.0,0.3,0.4,0.55,0.95,4.3
Vanguard Princess,4,8.299999999999999,0.2,1.0999999999999999,1.5499999999999998,2.525,5.0
Party of Sin,4,6.8,0.2,0.2,0.75,2.25,5.1
FINAL FANTASY VIII,29,746.7,0.1,3.2,5.8,13.3,185.0
Supreme Commander 2,51,2360.0000000000005,0.1,3.1,19.1,43.5,392.0
Supreme Commander,18,294.30000000000007,0.1,1.525,5.25,18.8,106.0
Defense Grid 2,13,120.19999999999999,0.1,1.0,3.3,10.7,39.0
Crysis Warhead,23,190.4,0.1,2.3,4.5,9.4,52.0
Batman Arkham Knight,27,421.8,0.2,1.3,12.9,26.5,55.0
Crysis Wars,15,26.8,0.1,0.2,0.3,1.1,12.2
Heroes of Might & Magic III - HD Edition,8,104.0,0.5,1.0250000000000001,2.15,6.025,83.0
Football Manager 2010,33,13119.4,5.0,31.0,98.0,472.0,2603.0
Castlevania Lords of Shadow 2,6,126.0,0.9,6.2749999999999995,10.5,22.3,73.0
The Darkness II,35,252.10000000000005,0.3,2.0,4.9,8.55,31.0
Tribes Ascend,42,211.80000000000007,0.1,0.5,1.35,5.525,43.0
Puzzle Quest,7,258.0,2.9,5.95,13.2,74.5,81.0
Altitude,13,70.9,0.2,1.3,3.0,4.5,20.0
Champions Online,20,825.8000000000001,0.5,2.45,4.65,26.075000000000003,218.0
Skullgirls Endless Beta,10,66.99999999999997,0.1,1.7249999999999999,2.6,9.649999999999999,28.0
Grand Theft Auto III,32,123.00000000000001,0.1,0.5,1.5,5.450000000000001,17.3
Grand Theft Auto Vice City,45,222.6,0.2,0.6,1.7,4.9,61.0
Assassin's Creed,36,415.40000000000003,0.2,3.175,7.3,14.0,69.0
Lead and Gold - Gangs of the Wild West,12,43.9,0.2,0.45,1.5,6.6499999999999995,11.5
Killing Floor Mod Defence Alliance 2,28,36.30000000000001,0.1,0.17500000000000002,0.3,0.9,13.0
Race The WTCC Game,3,14.3,0.3,3.25,6.2,7.0,7.8
Heroes of Might & Magic V,12,122.3,0.2,1.175,3.25,13.225,55.0
Majesty 2 Collection,5,112.6,0.8,2.8,25.0,29.0,55.0
Solar 2,16,79.6,1.4,2.4999999999999996,3.75,6.925000000000001,16.4
Dungeon Siege,11,86.99999999999999,0.1,0.8500000000000001,1.8,14.35,25.0
King Arthur Collection,6,20.3,0.3,0.35,0.6,1.1500000000000001,17.2
Neverwinter Nights 2 Platinum,12,518.4,0.3,0.95,7.4,48.0,307.0
Sigils of Elohim,7,891.8000000000001,0.2,0.3,0.4,1.3,888.0
Speedball 2 Tournament,2,10.700000000000001,0.4,2.875,5.3500000000000005,7.825,10.3
Legend of Grimrock,35,409.69999999999993,0.2,0.95,6.8,20.5,73.0
Wasteland 2,22,491.9000000000001,0.3,5.775,17.6,28.5,76.0
Magicite,17,240.79999999999998,0.5,6.0,9.3,29.0,31.0
System Shock 2,24,78.2,0.1,0.4,1.35,4.275,15.8
Dominions 4,2,9.2,0.2,2.4,4.6,6.8,9.0
God Mode,13,32.599999999999994,0.2,0.5,2.3,4.0,7.4
Age of Mythology Extended Edition,35,467.6000000000001,0.2,2.05,6.6,20.5,98.0
Shadowrun Dragonfall - Director's Cut,17,239.3,0.2,1.6,6.8,18.5,86.0
Divinity II Developer's Cut,12,136.89999999999998,0.3,0.6749999999999999,3.25,8.6,59.0
Cities XL Platinum,14,166.6,0.1,0.9000000000000001,4.800000000000001,14.024999999999999,75.0
SOMA,13,140.5,0.8,8.8,11.2,13.4,22.0
Hammerwatch,50,405.30000000000007,0.2,1.125,2.85,6.300000000000001,164.0
RAW - Realms of Ancient War,7,14.3,0.3,0.35,0.5,2.9,7.0
Evochron Mercenary,5,16.5,0.4,0.4,2.2,4.8,8.7
Fallout 2,22,237.10000000000002,0.2,1.1,1.85,19.125,44.0
Fallout Tactics,13,148.2,0.2,0.8,1.5,11.7,76.0
Stronghold 2,15,121.69999999999999,0.2,0.4,1.8,4.45,87.0
Game of Thrones ,16,202.89999999999998,0.2,1.125,7.75,17.849999999999998,63.0
Star Wars - Jedi Knight II Jedi Outcast,20,154.2,0.2,0.8250000000000001,4.3,11.5,27.0
Call of Duty Black Ops II - Zombies,115,1388.9,0.1,0.45,1.8,9.05,420.0
Gothic 3,10,199.4,0.2,1.525,16.8,26.0,55.0
Warmachine Tactics,9,83.69999999999999,0.1,1.6,1.9,9.8,49.0
Call of Duty World at War,68,2583.4999999999995,0.3,6.975,19.2,51.0,338.0
Crash Time II,14,21.6,0.1,0.3,0.55,2.3000000000000003,7.4
Dead Rising 2,21,127.69999999999997,0.2,1.7,4.9,8.5,17.4
Worms Ultimate Mayhem,13,26.9,0.2,0.5,0.6,1.1,10.4
Worms Armageddon,21,83.19999999999999,0.2,0.4,1.8,3.6,20.0
Train Simulator,48,2969.499999999999,0.2,3.3,10.5,29.5,1655.0
Farming Simulator 2013,28,2126.7,0.2,6.450000000000001,16.6,87.25,548.0
Medal of Honor(TM) Single Player,43,214.29999999999998,0.1,0.6499999999999999,2.8,5.8,46.0
The Bureau XCOM Declassified,15,124.39999999999999,1.0,2.55,5.9,14.100000000000001,24.0
FINAL FANTASY XIV A Realm Reborn,22,6618.5,0.5,17.3,30.5,60.25,4835.0
Hero Siege,27,469.00000000000017,0.1,2.1,5.6,22.05,109.0
Aliens versus Predator Classic 2000,10,17.300000000000004,0.1,0.925,1.45,2.325,4.7
One Way Heroics,5,17.7,0.2,1.0,1.2,1.2,14.1
Before the Echo,10,19.199999999999996,0.2,0.4,0.6000000000000001,1.0750000000000002,12.5
DUNGEONS - Steam Special Edition,9,93.2,0.4,1.0,1.3,19.1,27.0
Divinity Dragon Commander,11,94.80000000000001,0.4,1.2,4.6,15.95,21.0
GRID Autosport,28,257.30000000000007,0.2,2.0999999999999996,5.300000000000001,8.25,64.0
Guardians of Middle-earth,10,21.8,0.3,0.55,1.05,2.25,10.8
Command and Conquer Red Alert 3 - Uprising,30,217.4,0.1,0.4,0.6,2.5250000000000004,98.0
Red Faction,8,16.1,0.1,0.45,1.65,3.0500000000000003,4.9
Leviathan Warships,9,22.9,0.2,0.6,1.1,3.0,9.2
Prince of Persia The Sands of Time,15,38.6,0.1,0.55,0.9,2.35,10.8
Post Apocalyptic Mayhem,11,45.1,0.1,0.2,0.8,4.55,26.0
Metal War Online Retribution,3,5.8,0.3,0.3,0.3,2.75,5.2
Call of Duty 4 Modern Warfare,60,1223.8000000000002,0.7,3.3,8.9,26.25,113.0
Half-Life Deathmatch Source,12,7.899999999999999,0.1,0.17500000000000002,0.45,0.6499999999999999,3.1
Half-Life Opposing Force,40,169.39999999999998,0.3,0.8,3.1500000000000004,6.0,23.0
War of the Vikings,3,18.0,0.7,1.6,2.5,8.65,14.8
Call of Duty Ghosts - Multiplayer,69,3799.8000000000015,0.1,2.0,16.3,48.0,585.0
War of the Roses Balance Beta,4,10.1,0.1,0.475,2.4499999999999997,4.5,5.1
Blade Symphony,11,131.20000000000002,0.1,0.44999999999999996,3.2,7.95,93.0
Bloody Trapland,13,18.299999999999997,0.2,0.7,1.0,2.2,4.8
Dragomon Hunter,11,17.400000000000002,0.1,0.2,0.3,1.6500000000000001,7.9
Landmark,4,193.39999999999998,1.7,2.0,2.35,48.7,187.0
Overlord II,29,321.4,0.3,1.1,2.7,17.5,57.0
Overlord,22,310.50000000000006,0.3,1.25,4.15,14.649999999999999,119.0
Chaos on Deponia,10,81.7,0.9,6.3999999999999995,7.7,9.125,20.0
Indiana Jones and the Fate of Atlantis,6,15.899999999999997,0.1,0.2,1.6500000000000001,3.1,9.2
Goodbye Deponia,7,29.1,0.1,2.0,3.4,6.4,8.8
Deponia,25,170.6,0.5,1.6,5.6,7.9,30.0
Primordia,3,11.600000000000001,0.4,2.35,4.3,5.6,6.9
The Dig,5,15.200000000000001,0.4,2.4,3.3,3.4,5.7
Indiana Jones and the Last Crusade,6,9.5,0.2,0.5249999999999999,1.35,1.5750000000000002,4.7
